alpha,beta1,beta2,window,corr_min_completion,corr_knn_completion,corr_min_rmsd,corr_knn_rmsd,auc_min_success,auc_knn_success
0.05,0.1,0.1,6,0.7227841620423713,0.6589123155186248,0.42906152275480636,0.38780889575161415,0.8979248276226608,0.9232257958263713
0.05,0.1,0.1,12,0.8043785697295248,0.6152963094034074,0.47856785743877495,0.35854423598997665,0.925993339,0.8789898477867155
0.05,0.1,0.1,24,0.8543781113658578,0.6850739476136058,0.5102333668706222,0.4156598214133075,0.9469166007751006,0.8822370227366738
0.05,0.1,0.1,48,0.8889928503674634,0.7902335633686111,0.5323413840563224,0.48590533613007564,0.9608569085913261,0.9217457745168611
0.05,0.1,0.1,72,0.8989421941299064,0.8320983847755057,0.5383473612986654,0.5103104811835552,0.964135922,0.9398762766434424
0.05,0.1,0.1,96,0.9060154475198247,0.8573193299543466,0.5424654219045928,0.5248640738789299,0.9677559047311319,0.9501707150577463
0.05,0.1,0.1,120,0.9096805408280118,0.873958492,0.5443804508943288,0.5339639228258737,0.9686969652752502,0.9578350357857655
0.05,0.1,0.1,240,0.9096805408280118,0.873958492,0.5443804508943288,0.5339639228258737,0.9686969652752502,0.9578350357857655
0.05,0.1,0.1,480,0.9096805408280118,0.873958492,0.5443804508943288,0.5339639228258737,0.9686969652752502,0.9578350357857655
0.05,0.1,0.3,6,0.7248458781735125,0.663271755,0.4314957833071477,0.39244859600666315,0.8986988011381387,0.9244062086520253
0.05,0.1,0.3,12,0.8055114412874376,0.6200706743139669,0.4803229846527787,0.3632522873343397,0.9267755846870713,0.8801391154335256
0.05,0.1,0.3,24,0.854735058,0.6889221362276384,0.5113280991843476,0.41956114184440196,0.9476865662511145,0.8831143916160735
0.05,0.1,0.3,48,0.8885864385479421,0.792184095,0.5330321788295098,0.48880399846602834,0.9615402491843339,0.9224345395241813
0.05,0.1,0.3,72,0.8982188074654477,0.8328931085035287,0.5388842197026219,0.5126628772589268,0.9647683181416584,0.9404701897393829
0.05,0.1,0.3,96,0.9050323364849382,0.8572534015828516,0.5428826020588384,0.5268067521557342,0.9683482658418665,0.9507046582398995
0.05,0.1,0.3,120,0.9085297108974468,0.8732489409090113,0.544724847,0.5356074601989825,0.9692585126991267,0.9583214701392322
0.05,0.1,0.3,240,0.9085297108974468,0.8732489409090113,0.544724847,0.5356074601989825,0.9692585126991267,0.9583214701392322
0.05,0.1,0.3,480,0.9085297108974468,0.8732489409090113,0.544724847,0.5356074601989825,0.9692585126991267,0.9583214701392322
0.05,0.1,0.5,6,0.7265688824039542,0.667998611,0.43382173,0.39756574512239296,0.8991395348010232,0.9249436777034815
0.05,0.1,0.5,12,0.8057236919762703,0.6256131239601114,0.48162641601925565,0.368709191,0.9272149773141953,0.8806671218955702
0.05,0.1,0.5,24,0.853687899,0.6928902788790482,0.5116866388221039,0.42369420086667287,0.9481164962888269,0.8836232167463967
0.05,0.1,0.5,48,0.8862873616344176,0.792968075,0.5326929206983689,0.49108760362238446,0.961929722,0.922872712
0.05,0.1,0.5,72,0.895408021,0.8318624045990493,0.5382778020868804,0.5140091414869172,0.965131106,0.9408573121074797
0.05,0.1,0.5,96,0.9018055273405398,0.8549200054345466,0.5420667958430746,0.5274811940646741,0.9686884670261608,0.9510536439618164
0.05,0.1,0.5,120,0.9050383688925585,0.8699697990753072,0.5437827678906241,0.5358098460668447,0.9695806927736497,0.9586391750719475
