,completion_time,task_type,rmsd,success,within_between_subject,multi_loss
reconstruction_mse,0.0869588429972776,0.06901413478541966,0.09807701177488508,0.0871410139617673,0.08332676239937525,0.08745321206597738
endpoint_error_mean,0.09330233931541443,0.06899069994688034,0.13722212612628937,0.12731671333312988,0.08914809674024582,0.07277565449476242
curvature_error_mean,1.5684608221054077,1.6333093643188477,1.646301507949829,1.691439151763916,1.6447336673736572,1.5776097774505615
completion_time_correlation,0.4797593951225281,0.9052737951278687,-0.005379587411880493,0.1919470727443695,0.9557657241821289,0.892802894115448
task_type_accuracy,0.5530349478847333,0.5469037400367872,0.4978540772532189,0.5113427345187002,0.5469037400367872,0.545677498467198
rmsd_correlation,0.28943872451782227,0.5481472015380859,0.022515971213579178,0.11131882667541504,0.5808408260345459,0.5395305156707764
success_accuracy,0.05702023298589822,0.03862660944206009,0.4273451870018394,0.26057633353770693,0.03249540159411404,0.03862660944206009
participant_silhouette,-0.397881418466568,-0.41689974069595337,-0.427615761756897,-0.3744286000728607,-0.4177466928958893,-0.4227018654346466
completion_time_consistency,0.928977370262146,0.9132525324821472,0.8863472938537598,0.9265865683555603,0.9137153029441833,0.9140567779541016
task_type_consistency,0.5482526057633355,0.5529123237277743,0.558185162477008,0.5481299816063765,0.5487431023911711,0.5516860821581852
rmsd_consistency,0.011346972547471523,0.011318680830299854,0.012200227938592434,0.011498697102069855,0.011481164023280144,0.011610309593379498
is_success_consistency,0.976701410177805,0.9697118332311465,0.9699570815450643,0.9938687921520539,0.9702023298589822,0.9704475781729001
participant_id_consistency,0.03789086450030657,0.03862660944206009,0.03740036787247088,0.03801348865726548,0.03605150214592275,0.0375229920294298
trajectory_shape_consistency,0.7134514451026917,0.7121487855911255,0.7210816740989685,0.7166702151298523,0.7132681608200073,0.7179197072982788
